Query,ISO,Language,Type,Plurality,Gender,Case,Demonym,Attributes,Canonical
ucranio,es,Spanish,"Noun, Adjective",Singular,Masculine,-,Yes,A+N-S-M,FALSE
ukrainalaisuudessa,fi,Finnish,Noun,Singular,-,Inessive,Yes,N-S-Iness,FALSE
ukrainalaisuus,fi,Finnish,Noun,Singular,-,-,Yes,N-S,FALSE
ukrainarna,sv,Swedish,Noun,Plural,Common,Definite,Yes,N-P-Def,FALSE
ukrainarnas,sv,Swedish,Noun,Plural,Common,Possessive,Yes,N-P-Poss,FALSE
ukraineren,no,Norwegian,Noun,Singular,Common,Definite,Yes,N-S-Def,FALSE
ukrainernes,no,Norwegian,Noun,Plural,Common,Possessive,Yes,N-P-Poss,FALSE
ukrainskan,sv,Swedish,Noun,Singular,Common,Definite,No,N-S-Def,FALSE
ukrainske,no,Norwegian,Adjective,Plural,-,-,No,A-P,FALSE
ukrainskhet,no,Norwegian,Noun,Singular,-,-,No,N-S,FALSE
ukrainskhet,sv,Swedish,Noun,Singular,Common,-,No,N-S,FALSE
ukránból,hu,Hungarian,Noun,Singular,-,Elative,No,N-S-Elat,FALSE
ukránhoz,hu,Hungarian,Noun,Singular,-,Allative,No,N-S-Allat,FALSE
ukránokat,hu,Hungarian,Noun,Plural,-,Accusative,Yes,N-P-Acc,FALSE
ukránoknak,hu,Hungarian,Noun,Plural,-,Dative,Yes,N-P-Dat,FALSE
ukránokért,hu,Hungarian,Noun,Plural,-,Causal-Final,Yes,N-P-CausFinal,FALSE
اوکراینیان,fa,Persian,Noun,Plural,-,-,Yes,N-P,FALSE
